"","month","year","site","plot","Genus_species","rep","height","scenesced_leaves","green_leaves","emerging_leaves","leaf_area","force_to_break_leaf","leaf_wet_wt","herbivory_binary","herbivory_proportion","leaf_dry_wt","individual_biomass","notes","trt"
"136","august",2011,"pplots","6d","Schizachyrium_scoparium",1,24.5,1,1,0,391.582,169.73,0.0566,0,0,0.0236,0.0504,"","C::P0"
"137","june",2011,"pplots","6d","Schizachyrium_scoparium",1,26,1,2,1,463.072,228.9,0.06,0,0,0.021,0.1066,"","C::P0"
"138","august",2011,"pplots","6d","Schizachyrium_scoparium",2,28,2,2,1,373.948,173.44,0.0675,1,0.1,0.0312,0.1218,"","C::P0"
"139","june",2011,"pplots","6d","Ambrosia_psilostachya",2,28,4,6,6,288.538,35.27,0.0687,1,0.4,0.0179,0.2719,"","C::P0"
"140","june",2011,"pplots","6d","Dichanthelium_oligosanthes",3,26,2,8,7,450.498,104.42,0.0845,1,0.1,0.0215,0.4554,"","C::P0"
"141","august",2011,"pplots","6d","Solidago_missouriensis",2,36,4,18,8,295.665,57.76,0.0948,1,0.1,0.037,1.1549,"","C::P0"
"142","june",2011,"pplots","6d","Schizachyrium_scoparium",2,38,1,3,0,612.314,155.59,0.0953,0,0,0.0296,0.1313,"","C::P0"
"143","june",2011,"pplots","6d","Sorghastrum_nutans",3,42,1,2,2,653.726,178.88,0.0971,0,0,0.0261,0.1735,"","C::P0"
"144","august",2011,"pplots","6d","Sorghastrum_nutans",2,21,1,1,1,637.961,148.37,0.1105,0,0,0.0336,0.0867,"","C::P0"
"145","august",2011,"pplots","6d","Sorghastrum_nutans",3,27.5,3,1,1,499.891,135.91,0.1122,1,0.2,0.0474,0.1252,"","C::P0"
"146","june",2011,"pplots","6d","Ambrosia_psilostachya",3,32.5,5,9,4,569.128,90.36,0.128,1,0.4,0.0374,0.5614,"","C::P0"
"147","june",2011,"pplots","6d","Dichanthelium_oligosanthes",2,39,3,11,6,685.231,154.55,0.1301,1,0.2,0.0378,0.9236,"","C::P0"
"148","august",2011,"pplots","6d","Andropogon_gerardii",3,43.5,4,1,1,804.866,127.84,0.1364,1,0.1,0.0559,0.2079,"","C::P0"
"149","august",2011,"pplots","6d","Andropogon_gerardii",1,34,3,2,1,980.722,118.25,0.1429,1,0.3,0.0657,0.3439,"","C::P0"
"150","june",2011,"pplots","6d","Andropogon_gerardii",1,34.5,2,2,2,959.532,112.1,0.1443,1,0.3,0.048,0.2399,"","C::P0"
"151","august",2011,"pplots","6d","Sorghastrum_nutans",1,50.5,3,2,1,736.113,171.11,0.1724,1,0.1,0.0567,0.3716,"","C::P0"
"152","june",2011,"pplots","6d","Andropogon_gerardii",2,41,1,2,2,1180.711,114.13,0.1799,0,0,0.0634,0.3248,"","C::P0"
