year,season,date,site,tmnt,kartez,obs,ccount,cover,height,live_weight,Dead_Weight,Book,Comments
1999,1,2/4/99,C,C,MUPO2,2,1,1,48,5,-888,99-1,NA
1999,1,2/4/99,C,C,MUPO2,3,1,2,39,6.94,-888,99-1,NA
1999,1,2/4/99,C,C,MUPO2,4,1,2,37,10.38,-888,99-1,NA
1999,1,2/4/99,C,C,MUPO2,5,1,3,37,12.04,-888,99-1,NA
1999,1,2/4/99,C,C,MUPO2,6,1,3,51,13.15,-888,99-1,NA
1999,1,2/4/99,C,C,MUPO2,7,1,4,55,18.05,-888,99-1,NA
1999,1,2/4/99,C,C,MUPO2,8,1,4,46,18.22,-888,99-1,NA
1999,1,2/4/99,C,C,MUPO2,9,1,5,36,14.04,-888,99-1,NA
1999,1,2/4/99,C,C,MUPO2,10,1,5,54,20.11,-888,99-1,NA
1999,1,2/4/99,C,C,SPOR,1,1,0.1,26,0.22,-888,99-1,NA;_CHANGED_FROM_SPCO4_TO_SPOR
1999,1,2/4/99,C,C,SPOR,2,1,0.1,25,0.22,-888,99-1,NA;_CHANGED_FROM_SPCO4_TO_SPOR
1999,1,2/4/99,C,C,SPOR,3,1,0.25,26,0.38,-888,99-1,NA;_CHANGED_FROM_SPCO4_TO_SPOR
1999,1,2/4/99,C,C,SPOR,4,1,0.1,25,0.2,-888,99-1,NA;_CHANGED_FROM_SPCO4_TO_SPOR
1999,1,2/4/99,C,C,SPOR,5,1,0.25,23,0.35,-888,99-1,NA;_CHANGED_FROM_SPCO4_TO_SPOR
1999,1,2/4/99,C,C,SPOR,6,1,0.25,25,0.3,-888,99-1,NA;_CHANGED_FROM_SPCO4_TO_SPOR
1999,1,2/4/99,C,C,SPOR,7,1,0.5,24,0.22,-888,99-1,NA;_CHANGED_FROM_SPCO4_TO_SPOR
1999,1,2/4/99,C,C,SPOR,8,1,1,25,0.45,-888,99-1,NA;_CHANGED_FROM_SPCO4_TO_SPOR
1999,1,2/4/99,C,C,SPOR,9,1,2,29,0.67,-888,99-1,NA;_CHANGED_FROM_SPCO4_TO_SPOR
1999,1,2/4/99,C,C,SPOR,10,1,3,30,0.56,-888,99-1,NA;_CHANGED_FROM_SPCO4_TO_SPOR
1999,1,2/4/99,C,C,SPOR,11,1,4,30,1.35,-888,99-1,NA;_CHANGED_FROM_SPCO4_TO_SPOR
1999,1,2/4/99,C,C,SPOR,12,1,5,32,0.87,-888,99-1,NA;_CHANGED_FROM_SPCO4_TO_SPOR
1999,1,2/4/99,C,C,SPOR,13,1,6,30,1.29,-888,99-1,NA;_CHANGED_FROM_SPCO4_TO_SPOR
1999,1,2/4/99,C,C,SPOR,14,1,8,34,1.38,-888,99-1,NA;_CHANGED_FROM_SPCO4_TO_SPOR
1999,1,2/4/99,C,C,SPOR,15,1,9,40,0.97,-888,99-1,NA;_CHANGED_FROM_SPCO4_TO_SPOR
1999,1,2/4/99,C,C,SPOR,1,1,0.25,10,0.25,-888,99-1,NA;_CHANGED_FROM_SPFL2_TO_SPOR
1999,1,2/4/99,C,C,SPOR,2,1,0.25,10,0.17,-888,99-1,NA;_CHANGED_FROM_SPFL2_TO_SPOR
1999,1,2/4/99,C,C,SPOR,3,1,0.5,12,0.34,-888,99-1,NA;_CHANGED_FROM_SPFL2_TO_SPOR
1999,1,2/4/99,C,C,SPOR,4,1,0.5,13,0.29,-888,99-1,NA;_CHANGED_FROM_SPFL2_TO_SPOR
1999,1,2/4/99,C,C,SPOR,5,1,1,14,0.44,-888,99-1,NA;_CHANGED_FROM_SPFL2_TO_SPOR
1999,1,2/4/99,C,C,SPOR,6,1,1,15,0.59,-888,99-1,NA;_CHANGED_FROM_SPFL2_TO_SPOR
1999,1,2/4/99,C,C,SPOR,7,1,2,14,1,-888,99-1,NA;_CHANGED_FROM_SPFL2_TO_SPOR
1999,1,2/4/99,C,C,SPOR,8,1,2,12,0.87,-888,99-1,NA;_CHANGED_FROM_SPFL2_TO_SPOR
1999,1,2/4/99,C,C,SPOR,9,1,3,14,1.85,-888,99-1,NA;_CHANGED_FROM_SPFL2_TO_SPOR
1999,1,2/4/99,C,C,SPOR,10,1,3,15,1.66,-888,99-1,NA;_CHANGED_FROM_SPFL2_TO_SPOR
1999,1,2/4/99,C,C,SPWR,1,1,0.01,1,0.01,-888,99-1,NA
1999,1,2/4/99,C,C,SPWR,2,1,0.01,1,0.05,-888,99-1,NA
1999,1,2/4/99,C,C,SPWR,3,1,0.01,2,0.09,-888,99-1,NA
1999,1,2/4/99,C,C,SPWR,4,1,0.1,1,0.15,-888,99-1,NA
1999,1,2/4/99,C,C,SPWR,5,1,0.1,2,0.12,-888,99-1,NA
1999,1,2/4/99,C,C,SPWR,6,1,0.1,2,0.19,-888,99-1,NA
1999,1,2/4/99,C,C,SPWR,7,1,0.1,2,0.17,-888,99-1,NA
1999,1,2/4/99,C,C,SPWR,8,1,0.25,3,0.36,-888,99-1,NA
1999,1,2/4/99,C,C,SPWR,9,1,0.25,3,0.4,-888,99-1,NA
1999,1,2/4/99,C,C,SPWR,10,1,0.25,4,0.28,-888,99-1,NA
1999,2,6/4/99,C,C,ARDI5,1,1,0.05,4,0.21,-888,99-1,NA
1999,2,6/4/99,C,C,ARDI5,2,1,0.05,5,0.23,-888,99-1,NA
1999,2,6/4/99,C,C,ARDI5,3,1,0.1,3,0.19,-888,99-1,NA
1999,2,6/4/99,C,C,ARDI5,4,1,0.1,3,0.11,-888,99-1,NA
1999,2,6/4/99,C,C,ARDI5,5,1,0.25,3,0.25,-888,99-1,NA
1999,2,6/4/99,C,C,ARDI5,6,1,0.25,3,0.71,-888,99-1,NA
1999,2,6/4/99,C,C,ARPUP6,1,1,0.25,5,0.39,-888,99-1,NA
1999,2,6/4/99,C,C,ARPUP6,2,1,0.25,8,0.38,-888,99-1,NA
1999,2,6/4/99,C,C,ARPUP6,3,1,0.5,-999,-999,-888,99-1,SAMPLE_MISSING
1999,2,6/4/99,C,C,ARPUP6,4,1,0.5,9,1.33,-888,99-1,NA
1999,2,6/4/99,C,C,ARPUP6,5,1,1,9,1,-888,99-1,NA
1999,2,6/4/99,C,C,ARPUP6,6,1,1,11,2.01,-888,99-1,NA
1999,2,6/4/99,C,C,ARPUP6,7,1,2,11,1.57,-888,99-1,NA
1999,2,6/4/99,C,C,ARPUP6,8,1,2,10,2.72,-888,99-1,NA
1999,2,6/4/99,C,C,BAABA,1,1,0.01,2,0.05,-888,99-1,NA
1999,2,6/4/99,C,C,BAABA,2,1,0.01,2,-888,-888,99-1,NO_GREEN
1999,2,6/4/99,C,C,BAABA,3,1,0.05,4,0.14,-888,99-1,NA
1999,2,6/4/99,C,C,BAABA,4,1,0.05,2,-888,-888,99-1,NO_GREEN
1999,2,6/4/99,C,C,BAABA,5,1,0.1,3,0.12,-888,99-1,NA
1999,2,6/4/99,C,C,BAABA,6,1,0.1,7,0.35,-888,99-1,NA
1999,2,6/4/99,C,C,BOER4,1,1,0.05,4,0.1,-888,99-1,NA
1999,2,6/4/99,C,C,BOER4,2,1,0.05,4,0.09,-888,99-1,NA
1999,2,6/4/99,C,C,BOER4,3,1,0.1,4,0.01,-888,99-1,NA
1999,2,6/4/99,C,C,BOER4,4,1,0.1,6,0.12,-888,99-1,NA
1999,2,6/4/99,C,C,BOER4,5,1,0.25,7,0.89,-888,99-1,NA
1999,2,6/4/99,C,C,BOER4,6,1,0.25,10,0.31,-888,99-1,NA
1999,2,6/4/99,C,C,BOER4,7,1,0.5,10,1.17,-888,99-1,NA
1999,2,6/4/99,C,C,BOER4,8,1,0.5,9,1.92,-888,99-1,NA
1999,2,6/4/99,C,C,BOER4,9,1,1,10,2.18,-888,99-1,NA
1999,2,6/4/99,C,C,BOER4,10,1,1,10,2.7,-888,99-1,NA
1999,2,6/4/99,C,C,BOER4,11,1,2,11,5.42,-888,99-1,NA
1999,2,6/4/99,C,C,BOER4,12,1,3,15,21.15,-888,99-1,NA
1999,2,6/4/99,C,C,BOER4,13,1,4,14,6.39,-888,99-1,NA
1999,2,6/4/99,C,C,BOER4,14,1,5,10,7.1,-888,99-1,NA
1999,2,6/4/99,C,C,BOER4,15,1,6,15,12.21,-888,99-1,NA
1999,2,6/4/99,C,C,POJA5,1,1,0.05,4,0.09,-888,99-1,NA;_CHANGED_FROM_CAJA6_TO_POJA5
1999,2,6/4/99,C,C,POJA5,2,1,0.05,4,0.17,-888,99-1,NA;_CHANGED_FROM_CAJA6_TO_POJA5
1999,2,6/4/99,C,C,POJA5,3,1,0.1,4,0.11,-888,99-1,NA;_CHANGED_FROM_CAJA6_TO_POJA5
1999,2,6/4/99,C,C,POJA5,4,1,0.1,4,0.06,-888,99-1,NA;_CHANGED_FROM_CAJA6_TO_POJA5
1999,2,6/4/99,C,C,POJA5,5,1,0.25,3,0.03,-888,99-1,NA;_CHANGED_FROM_CAJA6_TO_POJA5
1999,2,6/4/99,C,C,CHER2,1,1,0.01,6,0.01,-888,99-1,NA
1999,2,6/4/99,C,C,CHER2,2,1,0.01,5,0.04,-888,99-1,NA
1999,2,6/4/99,C,C,CHER2,3,1,0.05,6,0.11,-888,99-1,NA
1999,2,6/4/99,C,C,CHER2,4,1,0.05,6,0.11,-888,99-1,NA
1999,2,6/4/99,C,C,CHER2,5,1,0.1,7,0.13,-888,99-1,NA
1999,2,6/4/99,C,C,CHER2,6,1,0.1,7,0.3,-888,99-1,NA
1999,2,6/4/99,C,C,CHER2,7,1,0.25,6,0.3,-888,99-1,NA
1999,2,6/4/99,C,C,CHER2,8,1,0.25,7,0.73,-888,99-1,NA
1999,2,6/4/99,C,C,DAPU7,1,1,0.01,1,-888,-888,99-1,NO_GREEN
1999,2,6/4/99,C,C,DAPU7,2,1,0.01,1,0.03,-888,99-1,NA
1999,2,6/4/99,C,C,DAPU7,3,1,0.05,1,0.01,-888,99-1,SAMPLE_MINUTE
1999,2,6/4/99,C,C,DAPU7,4,1,0.05,1,-888,-888,99-1,NO_GREEN
1999,2,6/4/99,C,C,DAPU7,5,1,0.1,1,0.01,-888,99-1,NA
1999,2,6/4/99,C,C,DAPU7,6,1,0.1,1,0.1,-888,99-1,NA
1999,2,6/4/99,C,C,DAPU7,7,1,0.25,3,0.14,-888,99-1,NA
1999,2,6/4/99,C,C,DAPU7,8,1,0.25,3,0.1,-888,99-1,NA
1999,2,6/4/99,C,C,DAPU7,9,1,0.5,2,0.11,-888,99-1,NA
1999,2,6/4/99,C,C,DAPU7,10,1,0.5,2,0.15,-888,99-1,NA
1999,2,6/4/99,C,C,DAPU7,11,1,1,3,0.32,-888,99-1,NA
1999,2,6/4/99,C,C,DAPU7,12,1,1,2,0.27,-888,99-1,NA
